Date_Key,Date,Day,Day_Name,Week_Number,Month,Month_Name,Quarter,Year,Fiscal_Year,Fiscal_Quarter,Is_Weekend,Is_Month_Start,Day_Of_Year
20230101,2023-01-01,1,Sunday,52,1,January,1,2023,FY2023,Q1,Yes,Yes,1
20230102,2023-01-02,2,Monday,1,1,January,1,2023,FY2023,Q1,No,No,2
20230103,2023-01-03,3,Tuesday,1,1,January,1,2023,FY2023,Q1,No,No,3
20230104,2023-01-04,4,Wednesday,1,1,January,1,2023,FY2023,Q1,No,No,4
20230105,2023-01-05,5,Thursday,1,1,January,1,2023,FY2023,Q1,No,No,5
20230106,2023-01-06,6,Friday,1,1,January,1,2023,FY2023,Q1,No,No,6
20230107,2023-01-07,7,Saturday,1,1,January,1,2023,FY2023,Q1,Yes,No,7
20230108,2023-01-08,8,Sunday,1,1,January,1,2023,FY2023,Q1,Yes,No,8
20230109,2023-01-09,9,Monday,2,1,January,1,2023,FY2023,Q1,No,No,9
20230110,2023-01-10,10,Tuesday,2,1,January,1,2023,FY2023,Q1,No,No,10
20230111,2023-01-11,11,Wednesday,2,1,January,1,2023,FY2023,Q1,No,No,11
20230112,2023-01-12,12,Thursday,2,1,January,1,2023,FY2023,Q1,No,No,12
20230113,2023-01-13,13,Friday,2,1,January,1,2023,FY2023,Q1,No,No,13
20230114,2023-01-14,14,Saturday,2,1,January,1,2023,FY2023,Q1,Yes,No,14
20230115,2023-01-15,15,Sunday,2,1,January,1,2023,FY2023,Q1,Yes,No,15
20230116,2023-01-16,16,Monday,3,1,January,1,2023,FY2023,Q1,No,No,16
20230117,2023-01-17,17,Tuesday,3,1,January,1,2023,FY2023,Q1,No,No,17
20230118,2023-01-18,18,Wednesday,3,1,January,1,2023,FY2023,Q1,No,No,18
20230119,2023-01-19,19,Thursday,3,1,January,1,2023,FY2023,Q1,No,No,19
20230120,2023-01-20,20,Friday,3,1,January,1,2023,FY2023,Q1,No,No,20
20230121,2023-01-21,21,Saturday,3,1,January,1,2023,FY2023,Q1,Yes,No,21
20230122,2023-01-22,22,Sunday,3,1,January,1,2023,FY2023,Q1,Yes,No,22
20230123,2023-01-23,23,Monday,4,1,January,1,2023,FY2023,Q1,No,No,23
20230124,2023-01-24,24,Tuesday,4,1,January,1,2023,FY2023,Q1,No,No,24
20230125,2023-01-25,25,Wednesday,4,1,January,1,2023,FY2023,Q1,No,No,25
20230126,2023-01-26,26,Thursday,4,1,January,1,2023,FY2023,Q1,No,No,26
20230127,2023-01-27,27,Friday,4,1,January,1,2023,FY2023,Q1,No,No,27
20230128,2023-01-28,28,Saturday,4,1,January,1,2023,FY2023,Q1,Yes,No,28
20230129,2023-01-29,29,Sunday,4,1,January,1,2023,FY2023,Q1,Yes,No,29
20230130,2023-01-30,30,Monday,5,1,January,1,2023,FY2023,Q1,No,No,30
20230131,2023-01-31,31,Tuesday,5,1,January,1,2023,FY2023,Q1,No,No,31
20230201,2023-02-01,1,Wednesday,5,2,February,1,2023,FY2023,Q1,No,Yes,32
20230202,2023-02-02,2,Thursday,5,2,February,1,2023,FY2023,Q1,No,No,33
20230203,2023-02-03,3,Friday,5,2,February,1,2023,FY2023,Q1,No,No,34
20230204,2023-02-04,4,Saturday,5,2,February,1,2023,FY2023,Q1,Yes,No,35
