Inventory_ID,Hospital_ID,Warehouse_ID,Product_ID,Current_Stock,Reorder_Level,Safety_Stock,Maximum_Stock,Inventory_Value,Stock_Status
INV000001,H001,WH001,P0252,114,137,30,685,776.34,Low Stock
INV000002,H001,WH001,P0375,0,141,75,705,0.0,Out of Stock
INV000003,H001,WH001,P0350,759,189,80,945,9737.97,In Stock
INV000004,H001,WH001,P0001,281,186,16,930,5400.82,In Stock
INV000005,H001,WH001,P0080,250,163,35,815,15487.5,In Stock
INV000006,H001,WH001,P0214,228,87,98,435,2070.24,In Stock
INV000007,H001,WH001,P0145,4,149,67,745,371995.68,Low Stock
INV000008,H001,WH001,P0134,754,141,42,705,1100312.2,In Stock
INV000009,H001,WH001,P0160,3,161,80,805,990262.47,Low Stock
INV000010,H001,WH001,P0341,17,92,37,460,325686821.95,Low Stock
INV000011,H001,WH001,P0478,89,134,30,670,4264.88,Low Stock
INV000012,H001,WH001,P0039,604,177,13,885,361675.2,In Stock
INV000013,H001,WH001,P0362,432,148,90,740,8994.24,In Stock
INV000014,H001,WH001,P0052,32,69,98,345,8823.68,Low Stock
INV000015,H001,WH001,P0262,30,58,41,290,14979.6,Low Stock
INV000016,H001,WH001,P0149,95,147,72,735,142817.3,Low Stock
INV000017,H001,WH001,P0469,223,170,82,850,4977.36,In Stock
INV000018,H001,WH001,P0089,238,24,53,153,2327.64,In Stock
INV000019,H001,WH001,P0361,16,23,61,161,3627212.16,Low Stock
INV000020,H001,WH001,P0407,616,127,96,635,8821.12,In Stock
INV000021,H001,WH001,P0021,27,37,21,185,375.84,Low Stock
INV000022,H001,WH001,P0135,574,80,36,400,105329.0,In Stock
INV000023,H001,WH001,P0238,6,134,87,670,9755793.18,Low Stock
INV000024,H001,WH001,P0367,733,100,43,500,16910.31,In Stock
INV000025,H001,WH001,P0184,665,198,24,990,54702.9,In Stock
INV000026,H001,WH001,P0170,718,101,40,505,699834.6,In Stock
INV000027,H001,WH001,P0167,558,148,73,740,14234.58,In Stock
INV000028,H001,WH001,P0118,429,20,52,152,24637.47,In Stock
INV000029,H001,WH001,P0209,7,69,51,345,11867508.38,Low Stock
INV000030,H001,WH001,P0458,459,72,42,360,293222.97,In Stock
INV000031,H001,WH001,P0420,18,32,61,161,4417960.68,Low Stock
INV000032,H001,WH001,P0195,284,99,34,495,285482.48,In Stock
INV000033,H001,WH001,P0050,828,78,35,390,213392.16,In Stock
INV000034,H001,WH001,P0485,0,85,59,425,0.0,Out of Stock
INV000035,H001,WH001,P0449,777,175,11,875,48477.03,In Stock
INV000036,H001,WH001,P0354,5,97,100,485,3745229.65,Low Stock
INV000037,H001,WH001,P0418,714,170,91,850,11209.8,In Stock
INV000038,H001,WH001,P0489,432,134,22,670,5382.72,In Stock
INV000039,H001,WH001,P0075,348,30,22,150,147639.0,In Stock
INV000040,H001,WH001,P0036,284,35,34,175,363951.68,In Stock
INV000041,H001,WH001,P0278,4,60,51,300,65370786.0,Low Stock
INV000042,H001,WH001,P0190,220,69,73,345,7695.6,In Stock
INV000043,H001,WH001,P0005,10,164,25,820,10518749.5,Low Stock
INV000044,H001,WH001,P0492,3,113,28,565,298961.31,Low Stock
INV000045,H001,WH001,P0400,94,132,95,660,9708.32,Low Stock
INV000046,H001,WH001,P0155,389,112,64,560,464038.1,In Stock
INV000047,H001,WH001,P0471,3,175,26,875,631296.96,Low Stock
INV000048,H001,WH001,P0343,367,180,51,900,68408.8,In Stock
INV000049,H001,WH001,P0003,867,29,21,145,654454.95,In Stock
INV000050,H001,WH001,P0141,352,192,72,960,7557.44,In Stock
INV000051,H001,WH001,P0403,19,56,99,280,3028714.19,Low Stock
INV000052,H001,WH001,P0496,270,105,31,525,23133.6,In Stock
INV000053,H001,WH001,P0123,826,188,86,940,20707.82,In Stock
INV000054,H001,WH001,P0294,44,47,76,235,25676.64,Low Stock
INV000055,H001,WH001,P0187,747,100,92,500,89423.37,In Stock
INV000056,H001,WH001,P0325,470,198,18,990,150785.4,In Stock
INV000057,H001,WH001,P0479,549,64,14,320,10700.01,In Stock
INV000058,H001,WH001,P0071,3,132,33,660,3491133.36,Low Stock
INV000059,H001,WH001,P0334,996,27,65,165,57519.0,In Stock
INV000060,H001,WH001,P0486,944,63,66,315,1109181.12,In Stock
INV000061,H001,WH001,P0274,387,187,27,935,261623.61,In Stock
INV000062,H001,WH001,P0117,80,82,14,410,1554.4,Low Stock
INV000063,H001,WH001,P0169,17,69,41,345,2585820.53,Low Stock
INV000064,H001,WH001,P0282,300,61,91,305,119841.0,In Stock
INV000065,H001,WH001,P0162,20,184,46,920,325800402.8,Low Stock
INV000066,H001,WH001,P0083,19,191,48,955,2599537.82,Low Stock
INV000067,H001,WH001,P0261,906,122,76,610,559482.18,In Stock
INV000068,H001,WH001,P0025,11,35,37,175,74320806.12,Low Stock
INV000069,H001,WH001,P0095,18,151,83,755,2778383.34,Low Stock
INV000070,H001,WH001,P0424,196,74,15,370,11522.84,In Stock
INV000071,H001,WH001,P0244,721,146,80,730,33331.83,In Stock
INV000072,H001,WH001,P0332,71,102,87,510,3114.77,Low Stock
INV000073,H001,WH001,P0093,46,30,33,150,40666.76,In Stock
INV000074,H001,WH001,P0495,677,59,13,295,49732.42,In Stock
