PO_Line_ID,PO_ID,Product_ID,Quantity,Unit_Cost,Line_Total
POL0000001,PO000001,P0345,7,14.73,103.11
POL0000002,PO000001,P0196,59,46.81,2761.79
POL0000003,PO000001,P0472,26,99.82,2595.32
POL0000004,PO000001,P0186,6,58.06,348.36
POL0000005,PO000001,P0414,49,11.08,542.92
POL0000006,PO000001,P0215,42,16.53,694.26
POL0000007,PO000001,P0104,36,81.01,2916.36
POL0000008,PO000001,P0442,54,104.51,5643.54
POL0000009,PO000002,P0198,1,149119.0,149119.0
POL0000010,PO000002,P0168,1,776041.08,776041.08
POL0000011,PO000002,P0092,1,1545480.99,1545480.99
POL0000012,PO000002,P0201,36,62.31,2243.16
POL0000013,PO000002,P0122,1,123453.98,123453.98
POL0000014,PO000002,P0335,1,1382311.31,1382311.31
POL0000015,PO000002,P0127,1,17054650.07,17054650.07
POL0000016,PO000002,P0065,1,294958.42,294958.42
POL0000017,PO000003,P0192,3,41.51,124.53
POL0000018,PO000003,P0481,22,21.5,473.0
POL0000019,PO000003,P0029,35,14.89,521.15
POL0000020,PO000003,P0469,5,21.02,105.1
POL0000021,PO000003,P0297,5,13.41,67.05
POL0000022,PO000003,P0394,46,10.89,500.94
POL0000023,PO000003,P0068,26,7.11,184.86
POL0000024,PO000004,P0142,51,92.43,4713.93
POL0000025,PO000004,P0250,57,42.06,2397.42
POL0000026,PO000004,P0383,53,27.63,1464.39
POL0000027,PO000005,P0489,35,11.19,391.65
POL0000028,PO000005,P0402,6,7.59,45.54
POL0000029,PO000005,P0465,10,7.62,76.2
POL0000030,PO000005,P0252,101,6.43,649.43
POL0000031,PO000005,P0121,61,6.72,409.92
POL0000032,PO000005,P0407,11,14.25,156.75
POL0000033,PO000005,P0406,40,9.98,399.2
POL0000034,PO000005,P0355,29,21.46,622.34
POL0000035,PO000006,P0231,64,410.93,26299.52
POL0000036,PO000006,P0219,5,249.21,1246.05
POL0000037,PO000006,P0330,57,299.59,17076.63
POL0000038,PO000006,P0183,59,598.99,35340.41
POL0000039,PO000006,P0039,41,554.15,22720.15
POL0000040,PO000006,P0133,41,492.74,20202.34
POL0000041,PO000007,P0455,16,61.86,989.76
POL0000042,PO000007,P0345,35,15.99,559.65
POL0000043,PO000007,P0484,101,121.88,12309.88
POL0000044,PO000007,P0378,63,26.52,1670.76
POL0000045,PO000007,P0154,66,52.13,3440.58
POL0000046,PO000007,P0202,30,68.38,2051.4
POL0000047,PO000008,P0469,10,21.02,210.2
POL0000048,PO000008,P0311,44,199.22,8765.68
POL0000049,PO000008,P0062,33,15.86,523.38
POL0000050,PO000008,P0424,31,51.61,1599.91
POL0000051,PO000008,P0362,100,18.51,1851.0
POL0000052,PO000008,P0188,57,20.82,1186.74
POL0000053,PO000008,P0425,26,50.19,1304.94
POL0000054,PO000008,P0481,65,21.5,1397.5
POL0000055,PO000009,P0406,28,9.98,279.44
POL0000056,PO000009,P0027,1,14.01,14.01
POL0000057,PO000009,P0264,27,18.96,511.92
POL0000058,PO000009,P0481,48,21.5,1032.0
POL0000059,PO000009,P0355,31,21.46,665.26
POL0000060,PO000009,P0337,55,10.26,564.3
POL0000061,PO000009,P0402,4,7.59,30.36
POL0000062,PO000010,P0154,18,50.37,906.66
POL0000063,PO000010,P0086,26,266.01,6916.26
POL0000064,PO000010,P0381,39,216.39,8439.21
POL0000065,PO000010,P0436,32,15.81,505.92
POL0000066,PO000011,P0351,30,115.93,3477.9
POL0000067,PO000011,P0487,45,58.95,2652.75
POL0000068,PO000011,P0094,28,93.89,2628.92
POL0000069,PO000011,P0227,57,24.32,1386.24
POL0000070,PO000012,P0044,1,188078.27,188078.27
POL0000071,PO000012,P0160,1,311680.89,311680.89
POL0000072,PO000012,P0011,1,1359053.82,1359053.82
POL0000073,PO000012,P0071,1,1066271.15,1066271.15
POL0000074,PO000012,P0105,1,1268415.26,1268415.26
POL0000075,PO000012,P0151,103,41.42,4266.26
POL0000076,PO000012,P0110,1,790098.77,790098.77
POL0000077,PO000012,P0007,1,115484.88,115484.88
POL0000078,PO000013,P0445,98,457.84,44868.32
POL0000079,PO000013,P0275,120,703.31,84397.2
POL0000080,PO000013,P0256,55,893.72,49154.6
POL0000081,PO000013,P0075,39,417.0,16263.0
POL0000082,PO000013,P0107,75,624.7,46852.5
POL0000083,PO000013,P0045,65,374.69,24354.85
POL0000084,PO000013,P0178,25,263.36,6584.0
POL0000085,PO000013,P0429,90,444.14,39972.6
POL0000086,PO000014,P0262,6,495.78,2974.68
POL0000087,PO000014,P0237,11,368.41,4052.51
POL0000088,PO000014,P0015,6,216.27,1297.62
POL0000089,PO000014,P0447,61,565.54,34497.94
POL0000090,PO000015,P0420,1,221435.23,221435.23
POL0000091,PO000015,P0012,1,7852821.88,7852821.88
POL0000092,PO000015,P0484,25,107.94,2698.5
POL0000093,PO000015,P0181,21,21.38,448.98
POL0000094,PO000015,P0339,1,88303.97,88303.97
POL0000095,PO000015,P0128,1,16961732.74,16961732.74
POL0000096,PO000016,P0030,1,322872.07,322872.07
POL0000097,PO000016,P0247,1,268124.6,268124.6
POL0000098,PO000016,P0492,1,92716.74,92716.74
POL0000099,PO000016,P0101,1,304929.55,304929.55
POL0000100,PO000016,P0377,1,250687.83,250687.83
POL0000101,PO000016,P0012,1,7200852.27,7200852.27
POL0000102,PO000016,P0190,54,31.9,1722.6
POL0000103,PO000017,P0259,36,221.66,7979.76
POL0000104,PO000017,P0436,38,15.81,600.78
POL0000105,PO000017,P0441,24,49.17,1180.08
POL0000106,PO000017,P0478,55,41.59,2287.45
POL0000107,PO000017,P0455,23,61.74,1420.02
POL0000108,PO000017,P0320,1,50.65,50.65
POL0000109,PO000017,P0400,28,100.44,2812.32
POL0000110,PO000017,P0154,29,50.37,1460.73
POL0000111,PO000018,P0460,1,526935.5,526935.5
POL0000112,PO000018,P0307,1,1168387.79,1168387.79
POL0000113,PO000018,P0148,1,15834134.75,15834134.75
POL0000114,PO000018,P0375,1,765353.58,765353.58
POL0000115,PO000018,P0071,1,1127706.26,1127706.26
POL0000116,PO000018,P0220,1,7853699.02,7853699.02
POL0000117,PO000018,P0245,1,77792.7,77792.7
POL0000118,PO000019,P0441,42,49.17,2065.14
POL0000119,PO000019,P0381,47,216.39,10170.33
POL0000120,PO000019,P0259,36,221.66,7979.76
POL0000121,PO000019,P0086,32,266.01,8512.32
POL0000122,PO000019,P0436,23,15.81,363.63
POL0000123,PO000020,P0188,83,20.82,1728.06
POL0000124,PO000020,P0425,8,50.19,401.52
POL0000125,PO000020,P0167,60,24.83,1489.8
POL0000126,PO000020,P0297,2,13.41,26.82
POL0000127,PO000021,P0275,107,703.31,75254.17
POL0000128,PO000021,P0271,20,774.82,15496.4
POL0000129,PO000021,P0443,112,302.48,33877.76
POL0000130,PO000022,P0092,1,1691613.39,1691613.39
POL0000131,PO000022,P0059,1,144157.5,144157.5
POL0000132,PO000022,P0474,1,932593.41,932593.41
POL0000133,PO000022,P0245,1,82904.61,82904.61
POL0000134,PO000022,P0260,1,10851518.26,10851518.26
POL0000135,PO000022,P0110,1,864824.96,864824.96
POL0000136,PO000023,P0308,35,572.92,20052.2
POL0000137,PO000023,P0114,51,1426.13,72732.63
POL0000138,PO000023,P0300,76,308.08,23414.08
POL0000139,PO000024,P0326,50,55.97,2798.5
POL0000140,PO000024,P0202,26,68.38,1777.88
POL0000141,PO000024,P0120,15,25.08,376.2
POL0000142,PO000024,P0024,115,33.42,3843.3
POL0000143,PO000024,P0364,89,150.42,13387.38
POL0000144,PO000024,P0378,126,26.52,3341.52
POL0000145,PO000024,P0086,30,265.9,7977.0
POL0000146,PO000025,P0423,1,1182232.2,1182232.2
POL0000147,PO000025,P0130,30,35.06,1051.8
POL0000148,PO000025,P0046,1,1475081.81,1475081.81
POL0000149,PO000025,P0434,14,68.9,964.6
POL0000150,PO000025,P0091,1,174233.87,174233.87
POL0000151,PO000025,P0222,1,269000.7,269000.7
POL0000152,PO000025,P0306,1,151217.4,151217.4
POL0000153,PO000025,P0320,83,51.11,4242.13
POL0000154,PO000026,P0388,4,28.25,113.0
POL0000155,PO000026,P0086,59,265.9,15688.1
POL0000156,PO000026,P0326,71,55.97,3973.87
POL0000157,PO000026,P0364,54,150.42,8122.68
POL0000158,PO000027,P0489,41,11.19,458.79
POL0000159,PO000027,P0450,36,6.83,245.88
POL0000160,PO000027,P0362,141,18.51,2609.91
POL0000161,PO000027,P0167,52,24.83,1291.16
POL0000162,PO000027,P0081,30,12.35,370.5
POL0000163,PO000027,P0057,51,17.49,891.99
POL0000164,PO000027,P0056,90,4.94,444.6
POL0000165,PO000028,P0421,20,46.29,925.8
POL0000166,PO000028,P0338,17,33.31,566.27
POL0000167,PO000028,P0108,38,76.04,2889.52
POL0000168,PO000028,P0480,44,104.38,4592.72
POL0000169,PO000028,P0055,45,38.25,1721.25
