Staff_ID,Hospital_ID,Department_ID,Job_Role,Staff_Type,Years_Experience,Shift,Employment_Type,Performance_Rating,Status
S00001,H001,D0001,Doctor,Clinical,9,Morning,Full-Time,3.3,Active
S00002,H001,D0001,Doctor,Clinical,18,Morning,Part-Time,3.1,Active
S00003,H001,D0001,Doctor,Clinical,7,Morning,Full-Time,4.1,Active
S00004,H001,D0001,Procurement Officer,Non-Clinical,18,Evening,Full-Time,3.9,Active
S00005,H001,D0001,Technician,Clinical Support,1,Morning,Part-Time,3.7,Active
S00006,H001,D0001,Nurse,Clinical,7,Evening,Full-Time,3.2,Active
S00007,H001,D0001,Doctor,Clinical,12,Evening,Part-Time,4.6,Active
S00008,H001,D0001,Procurement Officer,Non-Clinical,15,Night,Full-Time,4.9,Active
S00009,H001,D0001,Pharmacist,Clinical Support,3,Night,Part-Time,4.7,Active
S00010,H001,D0001,Administrator,Non-Clinical,12,Night,Full-Time,4.4,Active
S00011,H001,D0001,Doctor,Clinical,8,Evening,Full-Time,4.7,Active
S00012,H001,D0001,Maintenance Engineer,Non-Clinical,4,Evening,Part-Time,3.9,Active
S00013,H001,D0001,Maintenance Engineer,Non-Clinical,12,Morning,Part-Time,3.7,Active
S00014,H001,D0001,Procurement Officer,Non-Clinical,9,Night,Full-Time,4.2,Active
S00015,H001,D0001,Nurse,Clinical,18,Night,Full-Time,3.3,Active
S00016,H001,D0002,Technician,Clinical Support,18,Morning,Part-Time,4.7,Active
S00017,H001,D0002,Maintenance Engineer,Non-Clinical,2,Morning,Full-Time,4.6,Active
S00018,H001,D0002,Pharmacist,Clinical Support,9,Morning,Full-Time,4.8,Active
S00019,H001,D0002,Administrator,Non-Clinical,11,Morning,Part-Time,3.8,Active
S00020,H001,D0002,Procurement Officer,Non-Clinical,15,Morning,Part-Time,3.3,Active
S00021,H001,D0002,Procurement Officer,Non-Clinical,18,Night,Part-Time,4.5,Active
S00022,H001,D0002,Pharmacist,Clinical Support,19,Evening,Part-Time,3.4,Active
S00023,H001,D0002,Nurse,Clinical,17,Evening,Full-Time,4.5,Active
S00024,H001,D0002,Maintenance Engineer,Non-Clinical,4,Morning,Full-Time,4.6,Active
S00025,H001,D0002,Pharmacist,Clinical Support,20,Morning,Part-Time,3.8,Active
S00026,H001,D0002,Pharmacist,Clinical Support,17,Evening,Full-Time,4.4,Active
S00027,H001,D0002,Doctor,Clinical,18,Evening,Part-Time,3.2,Active
S00028,H001,D0002,Pharmacist,Clinical Support,6,Evening,Full-Time,4.9,Active
S00029,H001,D0002,Procurement Officer,Non-Clinical,9,Night,Full-Time,4.0,Active
S00030,H001,D0002,Doctor,Clinical,10,Night,Full-Time,3.3,Active
S00031,H001,D0002,Maintenance Engineer,Non-Clinical,6,Night,Full-Time,4.2,Active
S00032,H001,D0002,Pharmacist,Clinical Support,1,Morning,Part-Time,4.8,Active
S00033,H001,D0002,Maintenance Engineer,Non-Clinical,10,Morning,Full-Time,3.5,Active
S00034,H001,D0002,Administrator,Non-Clinical,3,Morning,Part-Time,4.6,Active
S00035,H001,D0002,Maintenance Engineer,Non-Clinical,18,Morning,Full-Time,4.3,Active
S00036,H001,D0002,Administrator,Non-Clinical,6,Evening,Part-Time,4.9,Active
S00037,H001,D0002,Administrator,Non-Clinical,7,Night,Part-Time,3.8,Active
S00038,H001,D0002,Procurement Officer,Non-Clinical,12,Evening,Part-Time,3.2,Active
S00039,H001,D0002,Nurse,Clinical,3,Evening,Full-Time,4.2,Active
S00040,H001,D0003,Administrator,Non-Clinical,8,Morning,Full-Time,4.4,Active
S00041,H001,D0003,Doctor,Clinical,8,Morning,Full-Time,4.7,Active
S00042,H001,D0003,Doctor,Clinical,17,Morning,Part-Time,4.3,Active
S00043,H001,D0003,Nurse,Clinical,18,Morning,Part-Time,3.5,Active
S00044,H001,D0003,Pharmacist,Clinical Support,14,Morning,Full-Time,3.2,Active
S00045,H001,D0003,Pharmacist,Clinical Support,12,Evening,Part-Time,3.9,Active
S00046,H001,D0003,Procurement Officer,Non-Clinical,2,Night,Full-Time,3.1,Active
S00047,H001,D0003,Procurement Officer,Non-Clinical,11,Morning,Full-Time,3.4,Active
S00048,H001,D0003,Administrator,Non-Clinical,15,Morning,Part-Time,3.4,Active
S00049,H001,D0003,Pharmacist,Clinical Support,8,Morning,Part-Time,4.6,Active
S00050,H001,D0003,Maintenance Engineer,Non-Clinical,18,Morning,Full-Time,4.3,Active
S00051,H001,D0003,Administrator,Non-Clinical,1,Morning,Full-Time,3.3,Active
S00052,H001,D0003,Pharmacist,Clinical Support,16,Morning,Part-Time,4.8,Active
S00053,H001,D0003,Nurse,Clinical,13,Morning,Part-Time,3.5,Active
S00054,H001,D0003,Maintenance Engineer,Non-Clinical,15,Evening,Part-Time,4.4,Active
S00055,H001,D0003,Procurement Officer,Non-Clinical,18,Night,Part-Time,3.3,Active
S00056,H001,D0003,Technician,Clinical Support,7,Morning,Full-Time,4.5,Active
S00057,H001,D0003,Doctor,Clinical,2,Night,Part-Time,4.0,Active
S00058,H001,D0003,Maintenance Engineer,Non-Clinical,17,Morning,Full-Time,4.9,Active
S00059,H001,D0004,Maintenance Engineer,Non-Clinical,6,Morning,Full-Time,4.4,Active
S00060,H001,D0004,Nurse,Clinical,13,Morning,Full-Time,4.2,Active
S00061,H001,D0004,Doctor,Clinical,20,Morning,Part-Time,4.3,Active
S00062,H001,D0004,Administrator,Non-Clinical,17,Evening,Part-Time,3.4,Active
S00063,H001,D0004,Procurement Officer,Non-Clinical,11,Morning,Part-Time,3.8,Active
S00064,H001,D0004,Procurement Officer,Non-Clinical,10,Evening,Part-Time,4.9,Active
S00065,H001,D0004,Doctor,Clinical,1,Evening,Full-Time,3.1,Active
S00066,H001,D0004,Nurse,Clinical,17,Evening,Full-Time,4.9,Active
S00067,H001,D0004,Doctor,Clinical,8,Evening,Part-Time,3.3,Active
S00068,H001,D0004,Maintenance Engineer,Non-Clinical,18,Night,Part-Time,4.2,Active
S00069,H001,D0004,Maintenance Engineer,Non-Clinical,17,Morning,Part-Time,4.9,Active
S00070,H001,D0004,Doctor,Clinical,5,Evening,Full-Time,4.8,Active
S00071,H001,D0004,Procurement Officer,Non-Clinical,18,Morning,Part-Time,3.6,Active
S00072,H001,D0004,Nurse,Clinical,11,Morning,Part-Time,4.0,Active
S00073,H001,D0005,Maintenance Engineer,Non-Clinical,2,Morning,Part-Time,4.7,Active
S00074,H001,D0005,Doctor,Clinical,1,Evening,Full-Time,4.3,Active
S00075,H001,D0005,Technician,Clinical Support,6,Night,Part-Time,4.1,Active
S00076,H001,D0005,Pharmacist,Clinical Support,18,Morning,Full-Time,3.2,Active
S00077,H001,D0005,Procurement Officer,Non-Clinical,5,Night,Full-Time,4.7,Active
S00078,H001,D0005,Administrator,Non-Clinical,18,Morning,Part-Time,3.3,Active
S00079,H001,D0005,Technician,Clinical Support,12,Morning,Part-Time,3.4,Active
S00080,H001,D0005,Nurse,Clinical,4,Evening,Part-Time,4.9,Active
S00081,H001,D0005,Procurement Officer,Non-Clinical,5,Morning,Full-Time,5.0,Active
S00082,H001,D0005,Maintenance Engineer,Non-Clinical,6,Evening,Full-Time,3.4,Active
S00083,H001,D0005,Technician,Clinical Support,14,Night,Full-Time,3.5,Active
S00084,H001,D0005,Maintenance Engineer,Non-Clinical,4,Evening,Full-Time,4.7,Active
S00085,H001,D0005,Nurse,Clinical,7,Evening,Part-Time,3.6,Active
S00086,H001,D0005,Maintenance Engineer,Non-Clinical,8,Morning,Full-Time,4.3,Active
S00087,H001,D0005,Pharmacist,Clinical Support,11,Evening,Full-Time,4.9,Active
S00088,H001,D0005,Technician,Clinical Support,12,Night,Part-Time,4.4,Active
S00089,H001,D0005,Maintenance Engineer,Non-Clinical,18,Evening,Full-Time,3.2,Active
S00090,H001,D0005,Technician,Clinical Support,6,Night,Part-Time,3.1,Active
S00091,H001,D0005,Administrator,Non-Clinical,14,Evening,Part-Time,3.9,Active
S00092,H001,D0005,Administrator,Non-Clinical,4,Evening,Full-Time,3.5,Active
S00093,H001,D0006,Doctor,Clinical,17,Night,Full-Time,3.7,Active
S00094,H001,D0006,Doctor,Clinical,11,Night,Part-Time,4.3,Active
S00095,H001,D0006,Doctor,Clinical,10,Night,Part-Time,4.3,Active
S00096,H001,D0006,Technician,Clinical Support,13,Night,Part-Time,4.1,Active
S00097,H001,D0006,Nurse,Clinical,14,Night,Part-Time,4.4,Active
S00098,H001,D0006,Nurse,Clinical,20,Night,Part-Time,3.8,Active
S00099,H001,D0006,Maintenance Engineer,Non-Clinical,1,Evening,Part-Time,3.4,Active
S00100,H001,D0006,Maintenance Engineer,Non-Clinical,19,Night,Part-Time,3.9,Active
S00101,H001,D0006,Pharmacist,Clinical Support,7,Night,Part-Time,4.6,Active
S00102,H001,D0006,Maintenance Engineer,Non-Clinical,6,Night,Full-Time,3.6,Active
S00103,H001,D0006,Procurement Officer,Non-Clinical,20,Evening,Full-Time,4.6,Active
S00104,H001,D0006,Maintenance Engineer,Non-Clinical,8,Night,Part-Time,3.4,Active
S00105,H001,D0006,Nurse,Clinical,5,Morning,Full-Time,3.5,Active
S00106,H001,D0006,Pharmacist,Clinical Support,20,Morning,Part-Time,3.8,Active
S00107,H001,D0006,Procurement Officer,Non-Clinical,19,Morning,Part-Time,4.0,Active
S00108,H001,D0006,Nurse,Clinical,5,Night,Full-Time,4.8,Active
S00109,H001,D0006,Maintenance Engineer,Non-Clinical,4,Evening,Full-Time,3.4,Active
S00110,H001,D0006,Procurement Officer,Non-Clinical,17,Evening,Full-Time,4.1,Active
S00111,H001,D0006,Maintenance Engineer,Non-Clinical,4,Evening,Full-Time,4.6,Active
S00112,H001,D0006,Procurement Officer,Non-Clinical,17,Night,Part-Time,4.9,Active
S00113,H001,D0006,Pharmacist,Clinical Support,20,Night,Part-Time,4.7,Active
