Vendor_Product_ID,Vendor_ID,Product_ID,Negotiated_Unit_Cost,Minimum_Order_Quantity,Lead_Time_Days,Preferred_Supplier,Status
VP00001,V003,P0001,18.47,8,14,Yes,Active
VP00002,V004,P0001,16.74,4,28,No,Active
VP00003,V001,P0002,1521.68,2,7,Yes,Active
VP00004,V002,P0002,1400.87,8,23,No,Active
VP00005,V001,P0003,722.7,23,24,Yes,Active
VP00006,V002,P0003,689.12,15,25,No,Active
VP00007,V005,P0004,206391.17,1,17,Yes,Active
VP00008,V008,P0004,192763.17,1,13,No,Active
VP00009,V008,P0005,954039.11,1,18,Yes,Active
VP00010,V005,P0005,1027812.42,1,26,No,Active
VP00011,V004,P0006,53.82,30,19,No,Active
VP00012,V003,P0006,49.85,10,27,Yes,Active
VP00013,V008,P0007,115484.88,1,9,No,Active
VP00014,V007,P0007,112597.95,1,14,No,Active
VP00015,V006,P0007,126932.53,1,9,Yes,Active
VP00016,V005,P0008,1440988.83,1,27,Yes,Active
VP00017,V001,P0009,543.28,22,15,No,Active
VP00018,V002,P0009,574.55,22,27,Yes,Active
VP00019,V002,P0010,294.84,8,12,Yes,Active
VP00020,V007,P0011,1423503.45,1,27,No,Active
VP00021,V008,P0011,1359053.82,1,14,Yes,Active
VP00022,V007,P0012,7153902.14,1,8,Yes,Active
VP00023,V006,P0012,7852821.88,1,19,No,Active
VP00024,V008,P0012,7200852.27,1,13,No,Active
VP00025,V006,P0013,263476.96,1,22,No,Active
VP00026,V008,P0013,271678.23,1,27,Yes,Active
VP00027,V007,P0013,274511.39,1,15,No,Active
VP00028,V005,P0014,136100.54,1,20,Yes,Active
VP00029,V001,P0015,216.27,5,23,No,Active
VP00030,V003,P0015,226.35,25,8,Yes,Active
VP00031,V008,P0016,1107982.97,1,20,Yes,Active
VP00032,V003,P0017,80.49,15,23,No,Active
VP00033,V004,P0017,78.76,18,7,Yes,Active
VP00034,V007,P0018,150400.62,1,24,Yes,Active
VP00035,V005,P0018,152039.28,1,27,No,Active
