Financial_ID,PO_ID,Vendor_ID,Hospital_ID,Department_ID,Cost_Center,Invoice_Number,Invoice_Date,Payment_Due_Date,Payment_Date,Transaction_Date,Expense_Category,Expense_Type,Budget_Amount,Actual_Amount,Variance,Variance_Percentage,Payment_Method,Payment_Status,Fiscal_Year,Fiscal_Quarter,Budget_Status
FIN000001,PO000001,V003,H004,D0070,CC1010,INV-2023-000001,2023-08-20,2023-09-19,,2023-08-20,Equipment,OPEX,16040.83,15605.66,-435.17,-2.71,ACH,Pending,FY2023,Q3,Within Budget
FIN000002,PO000002,V008,H003,D0059,CC1019,INV-2025-000002,2025-06-03,2025-08-02,2025-08-02,2025-06-03,Medical Supplies,OPEX,22336961.82,21328258.01,-1008703.81,-4.52,ACH,Paid,FY2025,Q2,Within Budget
FIN000003,PO000003,V010,H003,D0052,CC1012,INV-2025-000003,2025-05-24,2025-07-08,2025-07-03,2025-05-24,Administration,CAPEX,1870.94,1976.63,105.69,5.65,ACH,Paid,FY2025,Q2,Over Budget
FIN000004,PO000004,V003,H003,D0049,CC1009,INV-2025-000004,2025-05-25,2025-06-24,2025-06-29,2025-05-23,Equipment,CAPEX,8488.63,8575.74,87.11,1.03,Wire Transfer,Overdue,FY2025,Q2,Over Budget
FIN000005,PO000005,V010,H002,D0039,CC1019,INV-2023-000005,2023-07-28,2023-09-11,2023-09-16,2023-07-27,Medical Supplies,OPEX,2628.81,2751.03,122.22,4.65,Cheque,Partially Paid,FY2023,Q3,Over Budget
FIN000006,PO000006,V001,H005,D0086,CC1006,INV-2025-000006,2025-08-06,2025-09-05,2025-09-05,2025-08-04,Laboratory,OPEX,112973.59,122885.1,9911.51,8.77,Cheque,Paid,FY2025,Q3,Over Budget
FIN000007,PO000007,V011,H004,D0071,CC1011,INV-2023-000007,2023-06-07,2023-08-06,2023-08-30,2023-06-05,Pharmacy,OPEX,19251.14,21022.03,1770.89,9.2,Bank Transfer,Overdue,FY2023,Q2,Over Budget
FIN000008,PO000008,V010,H003,D0055,CC1015,INV-2025-000008,2025-03-06,2025-04-20,,2025-03-05,Medical Supplies,OPEX,15309.75,16839.35,1529.6,9.99,Bank Transfer,Pending,FY2025,Q1,Over Budget
FIN000009,PO000009,V010,H003,D0053,CC1013,INV-2025-000009,2025-01-15,2025-03-01,2025-02-27,2025-01-12,Equipment,CAPEX,3023.03,3097.29,74.26,2.46,Wire Transfer,Paid,FY2025,Q1,Over Budget
FIN000010,PO000010,V012,H005,D0084,CC1004,INV-2026-000010,2026-01-17,2026-03-18,,2026-01-15,Medical Supplies,OPEX,15793.85,16768.05,974.2,6.17,UPI,Pending,FY2026,Q1,Over Budget
FIN000011,PO000011,V004,H004,D0080,CC1020,INV-2023-000011,2023-05-03,2023-06-17,2023-06-15,2023-05-02,Administration,OPEX,10610.75,10145.81,-464.94,-4.38,Wire Transfer,Paid,FY2023,Q2,Within Budget
FIN000012,PO000012,V008,H003,D0060,CC1020,INV-2024-000012,2024-10-29,2024-12-28,2024-12-28,2024-10-29,Pharmacy,CAPEX,5453287.92,5103349.3,-349938.62,-6.42,Wire Transfer,Paid,FY2024,Q4,Within Budget
FIN000013,PO000013,V002,H001,D0017,CC1017,INV-2024-000013,2024-07-08,2024-08-22,2024-08-19,2024-07-06,Laboratory,CAPEX,285338.45,312447.07,27108.62,9.5,ACH,Paid,FY2024,Q3,Over Budget
