Shipment_ID,PO_ID,Vendor_ID,Hospital_ID,Planned_Delivery_Date,Actual_Delivery_Date,Ordered_Quantity,Received_Quantity,Damaged_Quantity,Delivery_Variance_Days,Delivery_Status,Transport_Mode,Receiving_Status
SHP000001,PO000001,V003,H004,2023-08-22,2023-08-21,62,61,1,-1,Early,Road,Received
SHP000002,PO000002,V008,H003,2025-06-05,2025-06-04,396,395,1,-1,Early,Road,Received
SHP000003,PO000003,V010,H003,2025-05-23,2025-05-21,97,97,0,-2,Early,Road,Closed
SHP000004,PO000004,V003,H003,2025-05-20,2025-05-18,337,336,1,-2,Early,Road,Closed
SHP000005,PO000005,V010,H002,2023-07-23,2023-07-27,162,159,3,4,Delayed,Road,Received
SHP000006,PO000006,V001,H005,2025-08-05,2025-08-05,407,401,6,0,Delivered,Road,Received
SHP000007,PO000007,V011,H004,2023-06-07,2023-06-08,440,435,5,1,Delayed,Road,Quality Inspection
SHP000008,PO000008,V010,H003,2025-03-03,2025-03-02,233,231,2,-1,Early,Road,Received
SHP000009,PO000009,V010,H003,2025-01-11,2025-01-16,324,324,0,5,Delayed,Air,Quality Inspection
SHP000010,PO000010,V012,H005,2026-01-14,2026-01-13,332,330,2,-1,Early,Air,Closed
SHP000011,PO000011,V004,H004,2023-05-01,2023-05-04,345,344,1,3,Delayed,Road,Received
SHP000012,PO000012,V008,H003,2024-10-28,2024-10-29,445,441,4,1,Delayed,Air,Received
SHP000013,PO000013,V002,H001,2024-07-06,2024-07-05,244,242,2,-1,Early,Road,Quality Inspection
SHP000014,PO000014,V001,H003,2025-04-04,2025-04-04,239,237,2,0,Delivered,Road,Quality Inspection
SHP000015,PO000015,V006,H005,2023-08-31,2023-08-30,361,359,2,-1,Early,Road,Received
SHP000016,PO000016,V008,H003,2025-03-14,2025-03-14,286,283,3,0,Delivered,Road,Closed
SHP000017,PO000017,V012,H001,2024-07-16,2024-07-17,400,395,5,1,Delayed,Air,Received
SHP000018,PO000018,V007,H002,2024-07-18,2024-07-19,470,470,0,1,Delayed,Air,Quality Inspection
SHP000019,PO000019,V012,H003,2025-02-20,2025-02-22,83,83,0,2,Delayed,Air,Closed
SHP000020,PO000020,V010,H001,2025-01-27,2025-01-30,158,155,3,3,Delayed,Road,Closed
SHP000021,PO000021,V002,H005,2025-10-02,2025-10-07,123,122,1,5,Delayed,Road,Closed
SHP000022,PO000022,V006,H005,2026-01-03,2026-01-05,432,426,6,2,Delayed,Air,Quality Inspection
SHP000023,PO000023,V001,H004,2025-04-04,2025-04-07,162,161,1,3,Delayed,Road,Received
SHP000024,PO000024,V011,H003,2023-05-27,2023-05-25,490,489,1,-2,Early,Road,Received
SHP000025,PO000025,V006,H001,2023-06-13,2023-06-17,355,354,1,4,Delayed,Road,Closed
SHP000026,PO000026,V011,H001,2025-12-03,2025-12-08,320,318,2,5,Delayed,Air,Received
SHP000027,PO000027,V010,H004,2024-05-26,2024-05-25,399,395,4,-1,Early,Road,Quality Inspection
SHP000028,PO000028,V003,H005,2025-05-22,2025-05-21,200,197,3,-1,Early,Road,Received
